time,000016,000300,000852,000903,000905,000906,399006,399673
20150410,2986.61,4344.42,9600.4,4000.76,7952.19,4971.36,2552.83,2445.45
20150413,3041.13,4421.07,9813.6,4076.7,8122.89,5064.49,2577.78,2462.74
20150414,3052.41,4438.18,9830.06,4098.42,8119.96,5077.97,2558.85,2430.91
20150415,3053.3,4380.51,9441.19,4087.19,7802.75,4974.25,2441.74,2322.87
20150416,3183.3,4513.55,9541.77,4240.14,7912.09,5102.57,2484.33,2369.37
20150417,3235.33,4596.14,9567.7,4327.75,7980.76,5182.36,2463.99,2356.36
20150420,3164.46,4521.92,9353.61,4256.23,7839.9,5096.54,2424.85,2334.6
20150421,3214.36,4619.16,9716.35,4323.75,8112.69,5224.72,2566.09,2479.23
20150422,3299.22,4739.81,9995.26,4431.24,8323.43,5360.98,2634.93,2541.26
20150423,3273.4,4740.89,10105.27,4410.64,8410.7,5377.43,2706.19,2621.63
20150424,3223.96,4702.64,10123.91,4352.19,8419.1,5347.64,2734.75,2662.77
20150427,3308.45,4807.59,10174.9,4479.48,8513.02,5450.23,2747.5,2681.65
20150428,3282.33,4741.86,9847.89,4460.4,8266.48,5352.5,2687.97,2641.91
20150429,3283.28,4774.33,10107.4,4459.23,8428.25,5407.9,2797.52,2766.93
20150430,3250.49,4749.89,10180.49,4428.06,8469.67,5395.31,2857.89,2831.21
20150504,3272.01,4787.74,10270.13,4461.41,8510.48,5433.54,2845.25,2812.99
20150505,3148.81,4596.84,10007.27,4284.53,8199.34,5221.92,2783.44,2746.13
20150506,3139.02,4553.33,9973.99,4251.3,8083.0,5165.58,2846.56,2811.79
20150507,3094.88,4470.09,9806.51,4174.65,7903.48,5065.49,2806.05,2758.35
20150508,3110.46,4558.4,10274.38,4226.72,8201.29,5190.84,2973.6,2929.48
20150511,3169.13,4690.53,10771.62,4322.85,8558.22,5362.57,3146.83,3116.05
20150512,3188.31,4747.42,11051.43,4351.03,8745.68,5442.53,3250.3,3231.53
20150513,3141.3,4718.44,11137.3,4305.65,8824.93,5432.97,3192.15,3168.97
20150514,3128.57,4700.78,11211.1,4283.98,8813.39,5416.47,3141.59,3091.69
20150515,3060.41,4617.47,11217.93,4198.27,8742.89,5335.77,3145.34,3086.62
20150518,2998.39,4575.14,11542.28,4120.37,8903.6,5329.83,3278.48,3220.25
20150519,3116.09,4731.22,11831.36,4271.53,9124.83,5496.94,3322.77,3242.71
20150520,3122.85,4754.92,12132.37,4279.92,9277.33,5543.53,3406.28,3324.54
20150521,3150.9,4840.98,12586.05,4339.07,9619.22,5674.82,3527.41,3441.95
20150522,3248.86,4951.34,12687.29,4462.63,9778.17,5793.45,3516.63,3436.27
20150525,3349.95,5099.5,12877.87,4605.76,10040.09,5961.35,3467.92,3378.06
20150526,3386.59,5198.92,13401.31,4664.01,10373.58,6102.07,3618.23,3521.41
20150527,3344.74,5181.43,13582.55,4617.62,10497.34,6109.77,3628.67,3500.98
