,code,date,close,open,low,high,volume,avg_price,turnover_rate
469617,000917,20170922,65.23866,65.91439,64.74722,66.03725,13753543.0,65.2441887,1.295
469618,000921,20170922,14.770547,14.414125,14.288329,14.822962,20741234.0,14.64108195,2.2994
469619,000923,20170922,29.071539,29.06127,27.808452,29.656872,3792787.0,29.15081568,1.9155
469620,000927,20170922,6.824446000000001,6.824446000000001,6.824446000000001,6.824446000000001,0.0,6.824446000000001,0.0
469621,000928,20170922,16.197408000000003,16.478613,15.972444,16.478613,20988513.0,16.227965610000002,2.8242
469622,000935,20170922,43.572676,44.753863,43.178947,45.56007,21666311.0,44.30351202,3.4419
469623,000950,20170922,21.796976,21.796976,21.796976,21.796976,0.0,21.796976,0.0
469624,000951,20170922,42.115788,41.14281600000001,40.88799,42.50961000000001,7046823.0,41.96103912,1.0504
469625,000966,20170922,13.330674,13.413645,13.27536,13.413645,6381302.0,13.32375975,0.5758
469626,000968,20170922,21.52752,21.31296,21.112704,21.59904,3222717.0,21.39077376,1.2409
469627,000969,20170922,60.872776,54.6229,54.318028,60.872776,85463495.0,59.33215616,9.5953
469628,000982,20170922,57.518475,59.069535,57.259965,59.069535,9605120.0,57.8933145,0.5321
469629,000989,20170922,59.90682,60.35846,59.681,60.39072,995382.0,59.903594,0.2403
469630,000990,20170922,38.574360000000006,39.09048000000001,38.46216,39.180240000000005,5757260.0,38.75993880000001,1.9383
469631,001696,20170922,128.84179,128.84179,128.84179,128.84179,0.0,128.84179,0.0
469632,002002,20170922,57.490173,58.207903,56.987762,58.782087,15282627.0,57.72128205999999,0.7363
469633,002003,20170922,82.271219,82.648264,81.44172,83.25153599999999,1855428.0,82.20712135,0.3946
469634,002004,20170922,102.667541,103.198809,102.401907,103.331626,6468150.0,102.7206678,0.3875
469635,002006,20170922,45.147907,45.147907,45.147907,45.147907,0.0,45.147907,0.0
469636,002011,20170922,52.398122,53.351682,52.112054,53.39936,17918126.0,52.6388959,2.1325
469637,002015,20170922,37.451412,37.451412,37.451412,37.451412,0.0,37.451412,0.0
469638,002017,20170922,44.163424,42.577872,41.920448,44.4728,11720386.0,43.51450784,3.4115
469639,002020,20170922,73.758933,73.242685,72.984561,74.01705700000001,2166660.0,73.65245685000001,0.4454
469640,002023,20170922,83.26350000000001,83.63356,82.37535600000001,84.521704,16464006.0,83.28644372000001,2.4973
469641,002034,20170922,71.64500000000001,68.63591,65.9134,71.64500000000001,601600.0,69.409676,0.9705
469642,002036,20170922,63.34622400000001,65.586667,62.640331,65.586667,10119920.0,63.725257850000006,2.5617
469643,002038,20170922,292.19391,293.450658,291.14662,295.231051,2058620.0,292.48086746,0.3635
469644,002041,20170922,150.232173,148.358175,146.380066,151.37739399999998,5913107.0,149.10360975999998,0.6767
469645,002043,20170922,62.452026,63.648234,62.202816000000006,63.89744400000001,10477345.0,62.62298406,1.4626
469646,002044,20170922,85.95895499999999,85.70082000000001,84.461772,86.475225,4731521.0,85.37815125,0.4456
469647,002048,20170922,109.685456,110.4216,107.43101500000002,112.215951,6264956.0,108.72110736000002,1.3606
469648,002051,20170922,101.221626,101.925252,100.869813,102.176547,6107315.0,101.34978645,0.5512
469649,002053,20170922,27.635424,27.635424,27.635424,27.635424,0.0,27.635424,0.0
469650,002055,20170922,147.4599,147.51924,143.95884,150.30822,10537989.0,146.854632,2.6166
469651,002060,20170922,15.34753,14.9732,14.935767,15.497262,40888377.0,15.19293171,3.4025
469652,002061,20170922,24.934461,24.934461,24.700634,25.232059,7728426.0,24.919793670000004,1.7051
469653,002063,20170922,61.278912000000005,62.269056,61.05888,62.269056,6502571.0,61.43458464,1.2262
469654,002068,20170922,60.823737,62.23581,60.405345,62.601903,21523922.0,61.13020913999999,3.5462
469655,002079,20170922,41.69451,42.08327,41.30575,42.520625,25732890.0,41.8509859,3.5443
469656,002085,20170922,141.616242,134.811858,132.47285100000002,141.616242,7455081.0,137.34294709,0.3527
469657,002088,20170922,44.42634,44.22348,43.78395,44.73063,2283277.0,44.3259243,1.0917
469658,002091,20170922,69.216357,69.962625,68.781034,70.21138099999999,19739664.0,69.33078476,2.8428
469659,002097,20170922,40.9684,41.946055,40.87529,42.08572,16948975.0,41.2616965,2.8062
469660,002099,20170922,43.381256,43.641024,43.251372,43.83585,5781404.0,43.40463512,0.6158
469661,002100,20170922,91.258848,91.47928,90.9282,91.809928,2455042.0,91.36796184,0.3461
469662,002101,20170922,59.34269599999999,60.0432,58.7923,60.393452,3193256.0,59.42625611999999,1.2875
